ID	Title	Price	Image URL	Available	Description
MUM001	9" Pot - Yellow	10	https://images.unsplash.com/photo-1509587584298-0f3b3a3a1797?w=400	TRUE	Beautiful yellow chrysanthemum in 9-inch pot
MUM002	9" Pot - Orange	10	https://images.unsplash.com/photo-1562690868-60bbe7293e94?w=400	TRUE	Vibrant orange chrysanthemum in 9-inch pot
MUM003	9" Pot - Red	10	https://images.unsplash.com/photo-1615559337337-e68c4d353851?w=400	TRUE	Stunning red chrysanthemum in 9-inch pot
MUM004	9" Pot - Purple	10	https://images.unsplash.com/photo-1602928321679-560bb453f190?w=400	TRUE	Rich purple chrysanthemum in 9-inch pot
MUM005	9" Pot - White	10	https://images.unsplash.com/photo-1574263867128-a3d9c152226e?w=400	TRUE	Elegant white chrysanthemum in 9-inch pot
HANG001	10" Hanging Basket - Yellow	15	https://images.unsplash.com/photo-1509587584298-0f3b3a3a1797?w=400	TRUE	Yellow mums in 10-inch hanging basket
HANG002	10" Hanging Basket - Orange	15	https://images.unsplash.com/photo-1562690868-60bbe7293e94?w=400	TRUE	Orange mums in 10-inch hanging basket
HANG003	10" Hanging Basket - Red	15	https://images.unsplash.com/photo-1615559337337-e68c4d353851?w=400	TRUE	Red mums in 10-inch hanging basket
HANG004	10" Hanging Basket - Purple	15	https://images.unsplash.com/photo-1602928321679-560bb453f190?w=400	TRUE	Purple mums in 10-inch hanging basket
HANG005	10" Hanging Basket - White	15	https://images.unsplash.com/photo-1574263867128-a3d9c152226e?w=400	TRUE	White mums in 10-inch hanging basket
DECK001	10" Deck Planter - Yellow	15	https://images.unsplash.com/photo-1509587584298-0f3b3a3a1797?w=400	TRUE	Yellow mums in 10-inch deck planter
DECK002	10" Deck Planter - Orange	15	https://images.unsplash.com/photo-1562690868-60bbe7293e94?w=400	TRUE	Orange mums in 10-inch deck planter
DECK003	10" Deck Planter - Red	15	https://images.unsplash.com/photo-1615559337337-e68c4d353851?w=400	TRUE	Red mums in 10-inch deck planter
DECK004	10" Deck Planter - Purple	15	https://images.unsplash.com/photo-1602928321679-560bb453f190?w=400	TRUE	Purple mums in 10-inch deck planter
DECK005	10" Deck Planter - White	15	https://images.unsplash.com/photo-1574263867128-a3d9c152226e?w=400	TRUE	White mums in 10-inch deck planter
LARGE001	14" Deck Planter - Yellow	25	https://images.unsplash.com/photo-1509587584298-0f3b3a3a1797?w=400	TRUE	Large yellow mums in 14-inch deck planter
LARGE002	14" Deck Planter - Orange	25	https://images.unsplash.com/photo-1562690868-60bbe7293e94?w=400	TRUE	Large orange mums in 14-inch deck planter
LARGE003	14" Deck Planter - Red	25	https://images.unsplash.com/photo-1615559337337-e68c4d353851?w=400	TRUE	Large red mums in 14-inch deck planter
LARGE004	14" Deck Planter - Purple	25	https://images.unsplash.com/photo-1602928321679-560bb453f190?w=400	TRUE	Large purple mums in 14-inch deck planter
LARGE005	14" Deck Planter - White	25	https://images.unsplash.com/photo-1574263867128-a3d9c152226e?w=400	TRUE	Large white mums in 14-inch deck planter
APPLE001	Apple Basket Bushel - Yellow	35	https://images.unsplash.com/photo-1509587584298-0f3b3a3a1797?w=400	TRUE	Abundant yellow mums in apple basket bushel
APPLE002	Apple Basket Bushel - Orange	35	https://images.unsplash.com/photo-1562690868-60bbe7293e94?w=400	TRUE	Abundant orange mums in apple basket bushel
APPLE003	Apple Basket Bushel - Red	35	https://images.unsplash.com/photo-1615559337337-e68c4d353851?w=400	TRUE	Abundant red mums in apple basket bushel